Month,EFPG_name,Unit_value_mean_wtd,Unit_value_se_wtd,Unit_value_mean_unwtd,Price_index_GEKS
1,Whole-grain breads,0.537,0.0011,0.533,1.003026987
2,Whole-grain breads,0.542,0.0011,0.536,1.013078118
3,Whole-grain breads,0.546,0.001,0.541,1.015321149
4,Whole-grain breads,0.55,0.0009,0.545,1.022633092
5,Whole-grain breads,0.555,0.0009,0.55,1.022397799
6,Whole-grain breads,0.554,0.001,0.548,1.022651532
7,Whole-grain breads,0.557,0.001,0.553,1.031793799
8,Whole-grain breads,0.554,0.001,0.546,1.0214562
9,Whole-grain breads,0.555,0.0009,0.549,1.03026785
10,Whole-grain breads,0.56,0.0011,0.554,1.041211978
11,Whole-grain breads,0.554,0.0009,0.552,1.035610787
12,Whole-grain breads,0.56,0.001,0.553,1.047452411
1,Whole-grain breads,0.586,0.0024,0.583,1.045382852
2,Whole-grain breads,0.592,0.0023,0.589,1.054789185
3,Whole-grain breads,0.596,0.0025,0.589,1.060774219
4,Whole-grain breads,0.604,0.0023,0.601,1.061680075
5,Whole-grain breads,0.608,0.0021,0.606,1.054876103
6,Whole-grain breads,0.61,0.0022,0.606,1.056449063
7,Whole-grain breads,0.608,0.0019,0.604,1.065327421
8,Whole-grain breads,0.603,0.0019,0.595,1.060714607
9,Whole-grain breads,0.602,0.0019,0.597,1.062431128
10,Whole-grain breads,0.602,0.002,0.597,1.066995125
11,Whole-grain breads,0.6,0.0019,0.6,1.064448321
12,Whole-grain breads,0.603,0.002,0.601,1.074914492
1,Whole-grain breads,0.464,0.0018,0.463,0.961808871
2,Whole-grain breads,0.465,0.0019,0.466,0.966105833
3,Whole-grain breads,0.469,0.0019,0.471,0.969889941
4,Whole-grain breads,0.473,0.0019,0.477,0.978080073
5,Whole-grain breads,0.476,0.0018,0.477,0.978275316
6,Whole-grain breads,0.475,0.0017,0.477,0.984913061
7,Whole-grain breads,0.477,0.0018,0.482,0.9882489
8,Whole-grain breads,0.476,0.0019,0.479,0.982321565
9,Whole-grain breads,0.48,0.0017,0.483,0.988938923
10,Whole-grain breads,0.48,0.0019,0.482,0.994597079
11,Whole-grain breads,0.478,0.0018,0.48,1.003976108
12,Whole-grain breads,0.481,0.0023,0.48,1.00938483
1,Whole-grain breads,0.542,0.0009,0.542,0.982329111
2,Whole-grain breads,0.554,0.0009,0.548,0.997989316
3,Whole-grain breads,0.555,0.0009,0.551,0.99637457
4,Whole-grain breads,0.561,0.0008,0.554,1.005796451
