recipe_name,prep_time,cook_time,total_time,servings,yield,rating,url,img_src,total_fat (g),sat_fat (g),cholesterol (mg),sodium (mg),total_carbohydrate (g),dietary_fiber (g),total_sugars (g),protein (g),vitamin_c (mg),calcium (mg),iron (mg),potassium (mg)
Apple-Cranberry Crostada,,,,8,6 to 8 - servings,4.4,https://www.allrecipes.com/recipe/76931/apple-cranberry-crostada/,https://www.allrecipes.com/thmb/Tf1wH73bfH6OqlfQySSDtMaP-nw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/517708-5f57072dedb04a389edab3e141517d4d.jpg,18.0,7.0,19.0,128.0,60,5.0,40.0,4.0,8.0,35.0,1.0,245
Apple Pie by Grandma Ople,30 mins,1 hrs,1 hrs 30 mins,8,1 9-inch pie,4.8,https://www.allrecipes.com/recipe/12682/apple-pie-by-grandma-ople/,https://www.allrecipes.com/thmb/1I95oiTGz6aEpuHd2DAr33w7Mgg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12682-apple-pie-by-grandma-ople-natasha-titanov-1x1-1-7f1cd9f631d24ff0b90cac0163247686.jpg,19.0,9.0,31.0,124.0,52,3.0,,2.0,5.0,23.0,1.0,156
Sarah's Homemade Applesauce,10 mins,15 mins,25 mins,4,,4.8,https://www.allrecipes.com/recipe/51301/sarahs-applesauce/,https://www.allrecipes.com/thmb/VY5d0tZHB8xz6y-ef586jR050FE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/25840-Sarahs-Applesauce-2000-56080bc8aac64df59aeec895f1875fc0.jpg,0.0,,,3.0,32,4.0,27.0,0.0,6.0,13.0,0.0,150
Apple Crisp,30 mins,45 mins,1 hrs 15 mins,12,1 9x13-inch pan,4.7,https://www.allrecipes.com/recipe/12409/apple-crisp-ii/,https://www.allrecipes.com/thmb/uAzhPOh86PfR-NIT1_dQ5c9bhag=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12409-apple-crisp-MFS-027-c2f142105db44206856af57c388db3ee.jpg,8.0,5.0,20.0,98.0,61,3.0,44.0,2.0,4.0,36.0,1.0,162
Apple Pie Filling,20 mins,20 mins,2 hrs 40 mins,40,5 9-inch pies,4.7,https://www.allrecipes.com/recipe/12681/apple-pie-filling/,https://www.allrecipes.com/thmb/c0bbYaS1V_mTt_fb85yo0gPcYUM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12681-apple-pie-filling-beauty-1x1-BP-2876-ed43a184f9564f4a8dc893c4ae8d561f.jpg,0.0,,,61.0,33,1.0,28.0,0.0,3.0,7.0,0.0,63
Easy Apple Crisp with Oat Topping,20 mins,40 mins,1 hrs,4,,4.7,https://www.allrecipes.com/recipe/229088/apple-crisp-with-oat-topping/,https://www.allrecipes.com/thmb/1tKFVcDXwp8Y_zGAzOoowGVomOk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Apple-Crisp-with-Oat-Topping-70ef9793a177482285f8ed377e692062.jpg,25.0,15.0,61.0,177.0,99,8.0,63.0,5.0,10.0,69.0,2.0,360
Easy Apple Cider,10 mins,1 hrs,1 hrs 10 mins,8,,4.6,https://www.allrecipes.com/recipe/42022/easy-apple-cider/,https://www.allrecipes.com/thmb/fRJDPqthkB2mxnA5VOrG6szvS1Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/158643-2d01a5a0827c44598c89b3bd819d250e.jpg,0.0,,,31.0,43,1.0,38.0,0.0,0.0,23.0,0.0,20
Apple-Cranberry Crisp,25 mins,40 mins,1 hrs 5 mins,8,1 8-inch crisp,4.6,https://www.allrecipes.com/recipe/41893/apple-cranberry-crisp/,https://www.allrecipes.com/thmb/MjDDFmBWiEx9f1kpSieyThF1KnM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/525977-d5f45adf863d41fba1a1071febfc00ad.jpg,12.0,4.0,15.0,47.0,43,4.0,32.0,2.0,7.0,37.0,1.0,207
Old-Fashioned Apple Dumplings,30 mins,1 hrs,1 hrs 30 mins,6,,4.7,https://www.allrecipes.com/recipe/46232/old-fashioned-apple-dumplings/,https://www.allrecipes.com/thmb/fBK5I_LpF7CXGzZUJfHTtRnhCac=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9411399-215b5cd7d43e451baeadd6ce77e36c6e.jpg,35.0,15.0,41.0,434.0,148,7.0,115.0,5.0,11.0,52.0,2.0,319
Southern Fried Apples,10 mins,10 mins,20 mins,4,,4.6,https://www.allrecipes.com/recipe/230907/southern-fried-apples/,https://www.allrecipes.com/thmb/j38-5Fxnr9NUifEj3gsaBBkd75k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1049390-361cabad31114328ac20bcc3c35ffce4.jpg,23.0,15.0,61.0,165.0,45,5.0,39.0,1.0,7.0,49.0,1.0,174
